,C-1H-RB1,C-1H-RB2,C-1H-RB3,T-1H-RB1,T-1H-RB2,T-1H-RB3
LOC114179622,24,29,14,51,27,24
LOC114184223,377,364,284,332,260,371
LOC114195829,505,471,433,1638,448,1236
LOC114187513,0,0,0,0,0,0
LOC114180307,16,16,13,12,24,18
LOC114164305,251,951,805,2117,1781,1033
LOC114162709,0,0,0,0,0,0
LOC114176465,242,208,251,160,282,242
LOC114194293,679,841,660,848,831,911
LOC114196291,3478,4183,2062,3546,977,4739
LOC114192481,1667,1236,1273,1780,1430,1942
LOC114175644,536,324,297,411,245,372
LOC114187531,0,0,0,0,0,0
LOC114179175,338,275,224,244,311,269
LOC114181597,0,0,0,8,4,0
LOC114192349,1353,1182,1060,1887,1856,2092
LOC114195336,1301,1150,1241,679,1026,785
LOC114195320,36,26,16,59,22,36
LOC114173782,1634,1483,1826,1414,1836,1984
LOC114182128,8,12,6,6,13,2
LOC114182254,544,154,67,29,53,33
LOC114167090,236,206,200,117,228,154
LOC114162801,0,0,0,0,0,0
LOC114165476,0,0,0,0,0,0
LOC114165425,0,0,0,0,0,0
LOC114162665,0,0,0,0,0,0
LOC114165430,0,0,0,0,0,0
LOC114165483,0,0,0,0,0,0
LOC114162814,0,0,0,0,0,0
LOC114165492,0,0,0,0,0,0
LOC114165435,0,0,0,0,0,0
LOC114175133,0,0,0,0,0,0
LOC114188920,46,20,20,29,31,37
LOC114192978,167,183,162,329,247,326
LOC114173617,0,0,2,0,0,0
LOC114192415,55,262,122,256,232,180
LOC114177830,4,0,8,6,0,8
LOC114164014,419,307,206,1448,435,1798
LOC114175360,0,0,0,0,0,0
LOC114180538,0,0,0,0,0,0
LOC114187546,0,0,0,0,0,0
LOC114183795,663,513,528,1122,643,1393
LOC114175735,21,12,18,8,2,9
LOC114162457,334,273,242,273,219,287
LOC114191637,202,180,173,303,194,266
LOC114165340,138,99,119,99,133,112
TRNAL-UAG,0,0,0,0,0,0
LOC114164514,0,0,0,0,0,0
LOC114183927,149,133,158,171,130,150
LOC114187554,0,0,0,0,1,0
LOC114187564,0,0,0,0,0,0
LOC114193742,174,138,86,151,133,170
LOC114187575,0,0,0,0,0,0
LOC114187584,0,0,0,0,0,0
LOC114174567,55,47,78,63,54,60
LOC114187593,0,0,0,0,0,0
LOC114163994,0,0,0,0,0,0
LOC114176613,22,20,30,34,8,38
LOC114193850,236,214,156,199,177,240
LOC114176988,120,54,86,74,79,125
LOC114162139,0,0,2,0,2,0
LOC114187605,0,0,0,0,0,0
LOC114184035,97,108,82,106,58,67
LOC114191973,1051,990,1231,416,583,755
LOC114181837,10516,3349,5603,4772,3372,7236
LOC114170958,597,274,397,187,258,245
LOC114170575,28,20,37,40,33,14
LOC114170666,153,149,108,94,103,124
LOC114177888,388,206,253,167,229,141
LOC114192780,375,386,364,531,517,634
LOC114180570,2,2,2,1,0,2
LOC114177971,0,0,0,0,0,0
LOC114163225,0,0,0,0,0,0
LOC114187631,0,0,0,0,0,0
LOC114187647,0,0,0,0,0,0
LOC114177478,0,2,2,2,0,2
LOC114162284,215,137,139,211,167,167
TRNAS-GCU,0,0,0,0,0,0
LOC114184159,145,106,172,154,139,172
LOC114177429,10,16,8,49,24,18
LOC114175255,23,28,46,59,6,20
LOC114162165,12,16,24,57,4,12
LOC114178237,86,58,76,32,72,55
LOC114181822,0,4,2,0,2,2
LOC114179809,0,0,0,4,0,0
LOC114174167,0,0,0,0,0,0
LOC114162506,2,0,2,0,2,2
LOC114177325,30,50,119,186,80,30
LOC114174589,0,0,0,0,0,0
LOC114194795,422,260,328,268,231,275
LOC114162764,430,376,342,365,391,378
LOC114162247,2,0,4,16,6,10
LOC114171760,94,135,107,265,214,285
LOC114164049,1331,1644,1745,1295,1692,1329
LOC114189615,541,336,470,410,336,499
LOC114175119,64,44,41,45,18,43
LOC114195213,6,4,2,12,2,10
LOC114195221,267,186,231,213,218,233
LOC114187676,0,0,0,0,0,0
LOC114196035,129,119,54,113,93,127
LOC114175304,400,237,283,186,191,210
LOC114165620,0,0,0,0,0,0
LOC114163103,0,0,0,0,0,0
LOC114191645,451,330,475,274,322,291
LOC114192558,324,262,295,720,392,508
LOC114178728,0,0,0,0,0,0
LOC114180464,856,790,1001,496,791,652
LOC114181549,59,31,39,16,50,27
LOC114165518,0,0,0,0,0,0
LOC114165550,0,2,1,0,2,0
LOC114185105,0,0,0,0,0,0
LOC114165530,0,0,0,0,0,0
LOC114185097,39,57,43,259,45,103
LOC114185137,1030,973,714,1838,1104,1086
LOC114177487,7,12,22,18,14,0
LOC114187720,0,0,0,0,0,0
LOC114163913,0,0,0,0,0,0
LOC114192646,418,372,418,226,279,244
LOC114189136,10,22,18,30,45,20
LOC114194781,6,7,10,9,7,2
LOC114187732,8,4,0,8,5,2
LOC114183753,58,24,16,164,49,133
LOC114187736,0,0,0,0,0,0
LOC114164943,0,0,0,0,0,0
LOC114187751,0,0,0,0,0,0
LOC114179252,0,0,0,0,0,6
LOC114179107,0,0,0,18,2,20
LOC114187766,0,0,0,0,0,0
LOC114185195,136,112,73,136,120,162
LOC114176123,4,0,5,2,8,6
LOC114187768,5,2,0,2,0,0
LOC114176116,34,9,17,6,9,11
LOC114176321,0,0,0,0,0,0
LOC114187778,0,0,0,0,0,0
LOC114182072,0,1,0,0,0,0
LOC114165607,0,0,0,0,0,0
LOC114195363,24,28,34,13,34,38
LOC114187795,0,0,0,0,0,0
LOC114187801,0,0,0,0,0,0
LOC114187808,0,0,0,0,0,0
LOC114163889,138,189,265,167,201,136
LOC114181638,2,4,4,6,0,0
LOC114173969,95,60,80,108,91,125
LOC114186780,354,199,219,105,153,207
LOC114186801,1,4,4,4,8,2
LOC114186794,4,0,0,0,0,0
LOC114185549,6,4,0,14,8,48
LOC114185624,0,0,0,0,0,0
LOC114176312,16,2,4,32,4,52
LOC114187816,0,0,0,0,0,0
LOC114163964,10,10,2,16,24,12
LOC114194913,0,0,0,0,0,0
LOC114183182,218,219,196,401,267,444
LOC114187834,0,0,0,0,0,0
LOC114186767,102,140,98,108,100,164
LOC114178747,345,233,437,216,321,301
LOC114191694,23785,21085,25792,13158,15724,17304
LOC114187849,4,0,2,12,0,2
LOC114185307,4290,5045,5101,5127,6281,6668
LOC114187858,0,0,0,0,0,0
LOC114191515,87,32,13,57,41,44
LOC114175465,0,0,0,0,0,0
LOC114187880,0,0,0,0,0,0
LOC114187895,0,0,0,0,0,0
LOC114165625,0,0,0,0,0,0
LOC114180646,12,8,6,4,0,0
LOC114192639,343,279,271,355,273,470
LOC114187904,0,0,0,0,0,0
LOC114187913,0,4,0,0,3,18
LOC114187918,0,0,0,0,0,0
LOC114174486,0,0,0,0,0,0
LOC114177874,142,126,132,184,141,187
LOC114165602,0,0,0,0,0,0
LOC114183054,70,66,76,50,65,56
LOC114187944,0,0,0,0,0,0
LOC114187971,0,0,0,0,0,0
LOC114184634,2242,1570,1986,1629,1992,2229
LOC114185042,17739,14801,20695,10585,18160,16468
LOC114187977,0,0,0,0,0,0
LOC114173050,35,20,22,48,14,66
LOC114194234,989,886,910,525,701,799
LOC114187999,0,0,0,0,0,0
LOC114165643,0,0,0,0,0,0
LOC114177053,0,0,0,0,0,0
LOC114185421,280,194,191,217,136,225
LOC114194833,1739,1722,1788,1160,1385,1626
LOC114194847,178,188,208,1166,179,1042
LOC114188022,0,0,0,0,0,0
LOC114167809,88,52,72,61,71,53
LOC114181151,19,8,8,14,12,18
LOC114186715,213,181,174,246,194,304
LOC114188032,0,0,0,0,0,0
LOC114181986,0,0,0,0,0,0
LOC114188047,0,0,0,0,0,0
LOC114175616,14,9,8,8,5,12
LOC114188055,0,0,0,0,0,0
LOC114188063,0,0,0,0,0,0
LOC114170289,136,50,96,20,28,16
LOC114188077,0,0,0,0,0,0
LOC114184665,692,513,462,414,401,488
LOC114188083,0,0,0,0,0,0
LOC114175381,3,0,4,0,2,0
TRNAS-AGA,0,0,0,0,0,0
LOC114195923,0,0,0,0,0,0
LOC114165421,0,0,0,0,0,0
LOC114176685,204,232,151,208,180,228
LOC114165408,0,0,0,0,0,0
LOC114165414,0,0,0,1,0,0
LOC114177203,59,43,26,19,20,20
LOC114177208,0,0,0,0,0,0
LOC114177193,11,80,6,0,40,4
LOC114179242,6,0,5,4,6,9
LOC114188090,0,0,0,0,0,0
LOC114183462,522,371,396,292,463,505
LOC114190617,0,0,0,0,0,0
LOC114192044,0,0,0,0,0,0
LOC114188106,0,0,0,0,0,0
LOC114192052,0,0,0,0,0,0
LOC114165636,0,0,0,0,0,0
LOC114192037,0,0,0,0,0,1
LOC114185903,39,51,73,55,83,52
LOC114193643,565,438,374,373,351,417
LOC114188114,84,65,58,75,78,85
LOC114175660,588,533,427,375,479,470
LOC114175675,4,8,6,4,16,2
LOC114175394,96,108,71,104,178,153
LOC114162148,801,594,769,1275,700,3164
LOC114188127,0,0,0,0,0,0
LOC114188143,0,0,0,0,0,0
LOC114188152,0,0,0,0,0,0
LOC114173184,130,106,79,84,151,75
LOC114179906,304,144,182,277,207,246
LOC114162376,183,159,214,209,93,98
LOC114194740,0,0,2,0,0,0
LOC114162369,2,0,0,0,2,2
LOC114180636,2,0,2,15,15,14
LOC114181057,0,8,0,6,10,4
LOC114181213,14,0,6,2,14,2
LOC114188171,0,0,0,0,0,0
LOC114188180,0,0,0,0,0,0
LOC114166167,0,0,3,0,0,0
LOC114166053,75,35,37,19,36,33
TRNAN-GUU,0,0,0,0,0,0
LOC114170487,70,94,86,134,113,117
LOC114188190,0,0,0,0,0,0
LOC114195593,0,0,0,0,0,0
LOC114162847,34,335,107,619,695,320
LOC114188206,0,0,0,0,0,0
TRNAD-GUC_1,0,0,0,0,0,0
LOC114192900,879,1092,908,805,983,968
LOC114180877,410,253,301,670,336,536
LOC114179603,0,0,0,0,0,0
LOC114188247,0,0,0,0,0,0
LOC114188262,0,0,0,0,0,0
LOC114169614,4635,2670,5015,2631,2986,2984
LOC114180195,0,0,0,0,0,0
LOC114162093,0,2,2,0,0,2
LOC114185602,6,4,11,51,8,12
LOC114188284,0,0,0,0,0,0
LOC114185610,682,497,497,642,374,555
LOC114173175,173,127,166,60,106,68
LOC114178268,80,80,94,73,88,67
LOC114173341,196,162,111,162,190,141
LOC114186856,49,75,55,85,99,83
LOC114178872,484,321,357,460,430,616
