Geneid,C-1H-RB1,C-1H-RB2,C-1H-RB3,T-1H-RB1,T-1H-RB2,T-1H-RB3
LOC114187374,0,0,0,0,0,0
LOC114187382,0,0,0,0,0,0
LOC114163483,50,57,64,82,116,64
LOC114194753,0,0,0,0,0,0
LOC114193633,4080,8001,6481,5290,6116,7031
LOC114187391,0,0,0,0,0,0
LOC114187398,0,0,0,0,0,0
LOC114185516,0,0,0,0,2,0
LOC114187407,0,0,0,0,0,0
LOC114185510,4,12,6,27,31,19
LOC114185503,57,52,84,113,419,98
LOC114196166,0,0,0,0,0,0
LOC114181242,0,0,0,0,0,0
LOC114181251,10,12,0,0,6,0
LOC114187425,0,0,0,0,0,0
LOC114187135,154,170,176,190,242,179
LOC114187129,1508,2704,2304,2771,3330,2750
LOC114187119,1868,4636,3068,4093,4019,3273
TRNAQ-UUG_2,0,0,0,0,0,0
TRNAQ-UUG_3,0,0,0,0,0,0
TRNAQ-UUG_4,0,0,0,0,0,0
TRNAQ-UUG_5,0,0,0,0,0,0
LOC114181372,90,98,80,125,174,131
LOC114186146,406,328,275,407,379,435
LOC114165482,252,214,196,276,275,272
LOC114185162,663,873,580,990,904,992
LOC114187450,0,0,0,0,0,0
LOC114187459,0,0,0,0,0,0
LOC114187470,0,0,0,0,0,0
LOC114191950,459,511,450,424,431,460
LOC114192815,1051,2290,1732,1554,1480,2560
LOC114162108,2,2,2,0,6,4
LOC114162656,0,0,0,0,0,0
LOC114164766,38,33,42,72,64,44
LOC114179622,14,34,36,34,62,37
LOC114184223,376,469,357,385,390,482
LOC114195829,662,653,524,1088,865,973
LOC114187513,0,0,0,0,0,0
LOC114180307,7,28,16,34,26,16
LOC114164305,330,142,106,1922,1718,1187
LOC114162709,0,0,0,0,0,0
LOC114176465,136,271,277,257,322,345
LOC114194293,858,921,687,1238,1098,1394
LOC114196291,3159,2806,2407,2266,1480,2173
LOC114192481,1407,1229,1146,1584,1280,1486
LOC114175644,379,840,788,574,599,627
LOC114187531,0,0,0,0,0,2
LOC114179175,297,389,320,319,339,406
LOC114181597,0,0,0,2,2,0
LOC114192349,717,1023,835,1866,1596,1870
LOC114195336,972,1247,892,1197,923,1179
LOC114195320,52,69,48,91,51,55
LOC114173782,1113,1749,1356,1876,1936,2121
LOC114182128,4,0,2,0,6,6
LOC114182254,89,115,164,156,110,97
LOC114167090,192,236,174,278,227,332
LOC114162801,0,0,0,0,0,0
LOC114165476,0,0,0,0,0,0
LOC114165425,0,0,0,0,0,0
LOC114162665,0,0,0,0,0,0
LOC114165430,0,0,0,0,0,0
LOC114165483,0,0,0,0,0,0
LOC114162814,0,0,0,0,0,0
LOC114165492,0,0,0,0,0,0
LOC114165435,0,0,0,0,0,0
LOC114175133,0,0,0,0,0,0
LOC114188920,33,56,51,31,45,41
LOC114192978,175,130,107,228,187,248
LOC114173617,0,0,0,0,0,1
LOC114192415,127,80,79,99,149,118
LOC114177830,11,2,2,10,0,15
LOC114164014,71,88,97,78,124,322
LOC114175360,0,0,0,0,0,0
LOC114180538,0,0,0,0,0,0
LOC114187546,0,0,0,0,0,0
LOC114183795,603,546,432,975,607,800
LOC114175735,26,17,18,26,30,31
LOC114162457,326,383,266,362,359,398
LOC114191637,197,246,175,329,292,359
LOC114165340,177,214,228,164,162,210
TRNAL-UAG,0,0,0,0,0,0
LOC114164514,0,0,0,0,0,0
LOC114183927,143,231,168,261,235,235
LOC114187554,0,0,0,0,0,0
LOC114187564,0,0,0,0,0,0
LOC114193742,118,160,115,180,182,163
LOC114187575,0,0,0,0,0,0
LOC114187584,0,0,0,0,0,0
LOC114174567,95,73,107,86,108,90
LOC114187593,0,0,0,0,0,0
LOC114163994,0,4,0,0,0,0
LOC114176613,42,49,60,55,67,64
LOC114193850,248,298,204,276,193,281
LOC114176988,104,153,153,142,117,145
LOC114162139,2,0,0,5,2,0
LOC114187605,0,0,0,0,0,0
LOC114184035,92,87,109,144,100,106
LOC114191973,1703,1310,1049,1320,1005,1708
LOC114181837,2253,4612,5128,4228,3260,3315
LOC114170958,424,617,736,356,408,393
LOC114170575,56,38,22,87,35,67
LOC114170666,169,244,197,218,163,225
LOC114177888,212,320,335,257,307,278
LOC114192780,408,564,556,809,747,801
LOC114180570,0,4,5,3,0,2
LOC114177971,9,10,3,7,7,0
