,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logP
LOC114175812,1046.76381,-1.023609103,0.178960631,-5.719744619,1.07E-08,1.19E-06,7.971899569
LOC114194387,354.262032,-1.104006908,0.19323812,-5.713194216,1.11E-08,1.23E-06,7.955166306
LOC114167149,219.3625152,1.755641388,0.307465723,5.710039382,1.13E-08,1.25E-06,7.947113634
LOC114175871,33.79636442,3.560279501,0.62459555,5.700135874,1.20E-08,1.32E-06,7.921862409
LOC114176791,95.47173706,2.20267033,0.386463183,5.69956059,1.20E-08,1.32E-06,7.920396866
LOC114176582,143.4695559,2.47789145,0.435275126,5.692701708,1.25E-08,1.36E-06,7.902934581
LOC114183521,103.081447,1.546249029,0.271835441,5.688180396,1.28E-08,1.39E-06,7.891434481
LOC114188913,42.25689371,2.782430865,0.489481391,5.684446668,1.31E-08,1.41E-06,7.881944146
LOC114177405,94.69986954,2.109411636,0.371223536,5.682321919,1.33E-08,1.43E-06,7.876546119
LOC114186774,147.8950337,2.161779679,0.381117696,5.672210193,1.41E-08,1.50E-06,7.850882962
LOC114194622,195.8405616,-1.526551802,0.269425462,-5.665952255,1.46E-08,1.55E-06,7.835022219
LOC114189031,242.1724269,-1.853468867,0.327256341,-5.663660674,1.48E-08,1.56E-06,7.829218351
LOC114193540,1309.51272,-1.357148739,0.239607827,-5.664041761,1.48E-08,1.56E-06,7.830183373
LOC114187293,122.6082948,-1.473184015,0.261329708,-5.637261928,1.73E-08,1.81E-06,7.762518548
LOC114193498,1525.924,1.091522372,0.193671906,5.635935504,1.74E-08,1.81E-06,7.759174942
LOC114168982,51.47023205,4.440098717,0.788650133,5.629998059,1.80E-08,1.87E-06,7.744217138
LOC114162102,258.8238529,-1.188111001,0.2111546,-5.626735102,1.84E-08,1.89E-06,7.736003335
LOC114179417,234.2758136,1.663054588,0.295710553,5.623927081,1.87E-08,1.91E-06,7.728938339
LOC114193174,281.9066165,-1.271561703,0.22704987,-5.60036305,2.14E-08,2.18E-06,7.669782431
LOC114177645,836.6128291,1.032361659,0.184488484,5.595805431,2.20E-08,2.23E-06,7.658367918
LOC114176355,224.2328378,1.703974048,0.305547645,5.576786723,2.45E-08,2.47E-06,7.610830472
LOC114177119,233.6437652,1.254905834,0.225260749,5.570903236,2.53E-08,2.55E-06,7.596155591
LOC114195574,120.2397087,1.76923876,0.318539136,5.554227287,2.79E-08,2.78E-06,7.554641079
LOC114180966,1419.631592,-1.44009213,0.259304241,-5.553677513,2.80E-08,2.78E-06,7.553274425
LOC114181382,130.9966135,2.75083185,0.495718205,5.549184647,2.87E-08,2.84E-06,7.542110635
LOC114177482,230.3152496,1.425555944,0.257109859,5.54454018,2.95E-08,2.91E-06,7.530579115
LOC114173416,494.1694806,-1.399201492,0.252522467,-5.540899034,3.01E-08,2.95E-06,7.521545063
LOC114176759,76.19912204,1.759974394,0.317717006,5.53944032,3.03E-08,2.96E-06,7.517927414
LOC114185730,52.08883318,4.047972229,0.731208817,5.536000298,3.09E-08,2.99E-06,7.509399636
LOC114196119,1035.863439,1.308295831,0.236297896,5.536637655,3.08E-08,2.99E-06,7.510979258
LOC114176731,192.0619054,-1.502068113,0.271692994,-5.528549306,3.23E-08,3.11E-06,7.490945833
LOC114177683,442.0469201,1.110508651,0.200930186,5.526838319,3.26E-08,3.13E-06,7.486711558
LOC114191479,1697.513626,-1.105451563,0.200100284,-5.524487715,3.30E-08,3.15E-06,7.480896405
LOC114187060,438.9371821,-1.403866505,0.254178522,-5.523151578,3.33E-08,3.16E-06,7.477591976
LOC114194241,118.3761141,-1.770145355,0.320590636,-5.521512972,3.36E-08,3.18E-06,7.473540538
LOC114188793,118.7954791,2.953913175,0.535274771,5.518498794,3.42E-08,3.22E-06,7.466090968
LOC114173474,711.3695706,1.053043478,0.190946274,5.514867895,3.49E-08,3.26E-06,7.457122262
LOC114171972,1093.632926,-1.626676413,0.295568185,-5.503557193,3.72E-08,3.44E-06,7.429219305
LOC114173075,234.8440083,-1.908018724,0.347115476,-5.496783795,3.87E-08,3.56E-06,7.412535517
LOC114183755,352.9161462,1.199783889,0.218449058,5.492282274,3.97E-08,3.62E-06,7.401458379
LOC114193397,8221.180826,-1.157982127,0.210820287,-5.492745246,3.96E-08,3.62E-06,7.402597246
